Season,Rank,Player,School,Power5,Conference,Division,Cl,Pos,G,Rec,Rec Yds,Rec TD
2014,17,Devante Scott,Southeastern La.,N,Southland,FCS,Sr.,WR,13,50,1064,6
2023,158,Devaughn Vele,Utah,Y,Pac-12,FBS,Jr.,WR,10,43,593,3
2022,114,Devaughn Vele,Utah,Y,Pac-12,FBS,So.,WR,14,55,695,5
2021,2,Deven Thompkins,Utah St.,N,Mountain West,FBS,Sr.,WR,14,102,1704,10
2019,149,Devin Asiasi,UCLA,Y,Pac-12,FBS,Sr.,TE,12,44,641,4
2016,62,Devin Borders,Eastern Ky.,N,OVC,FCS,Sr.,WR,11,48,739,6
2014,149,Devin Borders,Eastern Ky.,N,OVC,FCS,So.,WR,13,38,533,5
2013,167,Devin Borders,Eastern Ky.,N,OVC,FCS,Fr.,WR,12,34,509,6
2021,186,Devin Carter,NC State,Y,ACC,FBS,So.,WR,12,31,556,6
2020,123,Devin Carter,NC State,Y,ACC,FBS,So.,WR,12,29,477,2
2019,120,Devin Cates,Drake,N,Pioneer,FCS,Sr.,TE,11,51,627,9
2018,119,Devin Cates,Drake,N,Pioneer,FCS,Sr.,WR,11,45,570,4
2013,382,Devin Clarke,Middle Tenn.,N,CUSA,FBS,Jr.,WR,12,18,318,0
2019,5,Devin Duvernay,Texas,Y,Big 12,FBS,Sr.,WR,13,106,1386,9
2018,199,Devin Duvernay,Texas,Y,Big 12,FBS,Jr.,WR,14,41,546,4
2015,37,Devin Fosselman,Jackson St.,N,SWAC,FCS,Sr.,WR,11,58,872,5
2013,228,Devin Fuller,UCLA,Y,Pac-12,FBS,So.,WR,12,43,471,4
2014,92,Devin Funchess,Michigan,Y,Big Ten,FBS,Jr.,WR,11,62,733,4
2013,104,Devin Funchess,Michigan,Y,Big Ten,FBS,So.,TE,13,49,748,6
2016,67,Devin Gray,Cincinnati,N,AAC,FBS,Jr.,WR,12,58,860,5
2015,145,Devin Lauderdale,Texas Tech,Y,Big 12,FBS,Jr.,WR,11,43,639,4
2014,157,Devin Lauderdale,Texas Tech,Y,Big 12,FBS,So.,WR,12,31,589,7
2015,28,Devin Lucien,Arizona St.,Y,Pac-12,FBS,Sr.,WR,13,66,1075,8
2013,362,Devin Lucien,UCLA,Y,Pac-12,FBS,Jr.,WR,12,19,339,2
2022,198,Devin Maddox,Toledo,N,MAC,FBS,Jr.,WR,13,39,548,3
2021,181,Devin Maddox,Toledo,N,MAC,FBS,So.,WR,13,41,567,4
2023,192,Devin McCuin,UTSA,N,AAC,FBS,Fr.,WR,12,42,546,3
2014,74,Devin Rahming,Duquesne,N,NEC,FCS,Sr.,WR,12,71,727,4
2013,241,Devin Rahming,Duquesne,N,NEC,FCS,Jr.,WR,9,32,395,3
2016,89,Devin Ross,Colorado,Y,Pac-12,FBS,Jr.,WR,14,69,787,5
2014,48,Devin Smith,Ohio St.,Y,Big Ten,FBS,Sr.,WR,15,33,931,12
2013,134,Devin Smith,Ohio St.,Y,Big Ten,FBS,Jr.,WR,14,44,660,8
2023,54,Devin Smith,N.C. Central,N,MEAC,FCS,Jr.,WR,12,40,707,5
2022,149,Devin Smith,N.C. Central,N,MEAC,FCS,So.,WR,11,38,509,6
2013,74,Devin Street,Pittsburgh,Y,ACC,FBS,Sr.,WR,10,51,854,7
2022,62,Devin Voisin,South Alabama,N,Sun Belt,FBS,Jr.,WR,13,64,867,5
2013,399,Devin Wilson,Tennessee St.,N,OVC,FCS,Sr.,WR,11,26,265,0
2021,105,Devin Young,Maine,N,CAA,FCS,Sr.,WR,11,54,585,3
2019,136,Devin Young,Maine,N,CAA,FCS,So.,WR,12,41,593,4
2014,115,Devon Allen,Oregon,Y,Pac-12,FBS,Fr.,WR,14,41,684,7
2019,54,Devon Bibbens,Lehigh,N,Patriot,FCS,Sr.,WR,11,67,859,6
2018,114,Devon Bibbens,Lehigh,N,Patriot,FCS,Jr.,WR,11,33,576,3
2015,132,Devon Blackmon,BYU,N,FBS Independent,FBS,Sr.,WR,13,46,669,0
2014,178,Devon Cajuste,Stanford,Y,Pac-12,FBS,Sr.,WR,11,34,557,6
2013,143,Devon Cajuste,Stanford,Y,Pac-12,FBS,Jr.,WR,13,28,642,5
2019,88,Devon Cooley,Weber St.,N,Big Sky,FCS,So.,WR,15,59,733,5
2018,133,Devon Johnson,Tennessee St.,N,OVC,FCS,Sr.,WR,9,30,543,6
2013,137,Devon Smith,Marshall,N,CUSA,FBS,Sr.,WR,14,39,653,4
2021,185,Devon Williams,Oregon,Y,Pac-12,FBS,So.,WR,12,35,557,4
2015,125,Devonn Brown,Lamar University,N,Southland,FCS,Sr.,WR,11,26,514,5
2020,1,DeVonta Smith,Alabama,Y,SEC,FBS,Sr.,WR,13,117,1856,23
2019,11,DeVonta Smith,Alabama,Y,SEC,FBS,Jr.,WR,13,68,1256,14
2018,120,Devonta Smith,Alabama,Y,SEC,FBS,So.,WR,14,42,693,6
2021,125,DeVonte Adams,Morehead St.,N,Pioneer,FCS,Sr.,WR,11,49,542,6
2017,152,Devonte Boyd,UNLV,N,Mountain West,FBS,Sr.,WR,12,34,612,3
2016,99,Devonte Boyd,UNLV,N,Mountain West,FBS,Jr.,WR,10,45,746,4
2015,56,Devonte Boyd,UNLV,N,Mountain West,FBS,So.,WR,12,54,904,7
2014,38,Devonte Boyd,UNLV,N,Mountain West,FBS,Fr.,WR,13,65,980,4
2018,101,Devonte Dedmon,William & Mary,N,CAA,FCS,Sr.,WR,9,40,605,6
2016,131,Devonte Dedmon,William & Mary,N,CAA,FCS,Jr.,WR,10,35,533,5
2015,100,Devonte Dedmon,William & Mary,N,CAA,FCS,So.,WR,12,51,588,8
2023,59,DeVonte Tanksley,UT Martin,N,OVC,FCS,Sr.,WR,11,54,698,4
2022,88,Devonte Tanksley,UT Martin,N,OVC,FCS,Jr.,WR,10,53,653,1
2019,146,Devonte Williams,Southeastern La.,N,Southland,FCS,Sr.,RB,12,68,571,3
2023,107,Devontez Walker,North Carolina,Y,ACC,FBS,So.,WR,8,41,699,7
2022,47,Devontez Walker,Kent St.,N,MAC,FBS,So.,WR,12,58,921,11
2023,106,Devron Harper,Mercer,N,SoCon,FCS,Sr.,WR,13,57,549,2
2022,19,Devron Harper,Mercer,N,SoCon,FCS,Jr.,WR,11,78,987,10
2019,106,Devron Harper,Gardner-Webb,N,Big South,FCS,Fr.,WR,12,51,653,4
2020,134,Dewayne Cooks Jr,Eastern Ill.,N,OVC,FCS,So.,WR,5,15,241,1
2013,365,Dexter Bryant,Ark.-Pine Bluff,N,SWAC,FCS,Sr.,WR,10,25,300,1
2020,21,Dez Fitzpatrick,Louisville,Y,ACC,FBS,Sr.,WR,11,43,833,3
2019,152,Dez Fitzpatrick,Louisville,Y,ACC,FBS,Jr.,WR,13,35,635,6
2017,102,Dez Fitzpatrick,Louisville,Y,ACC,FBS,Fr.,WR,13,45,699,9
2014,32,Dezmin Lewis,Central Ark.,N,Southland,FCS,Sr.,WR,12,64,945,9
2013,81,Dezmin Lewis,Central Ark.,N,Southland,FCS,Jr.,WR,11,50,721,7
2015,92,Dezmon Epps,Idaho,N,Sun Belt,FBS,Sr.,WR,6,61,757,2
2013,47,Dezmon Epps,Idaho,N,FBS Independent,FBS,Jr.,WR,12,79,980,4
2019,93,Dezmon Patmon,Washington St.,Y,Pac-12,FBS,Sr.,WR,13,58,762,8
2018,76,Dezmon Patmon,Washington St.,Y,Pac-12,FBS,Jr.,WR,13,61,816,5
2013,74,Dezmond Beverly,Ark.-Pine Bluff,N,SWAC,FCS,Sr.,WR,11,57,740,0
2014,129,Dijon Paschal,Arkansas St.,N,Sun Belt,FBS,Fr.,WR,13,37,642,4
2018,14,Dillon Mitchell,Oregon,Y,Pac-12,FBS,Jr.,WR,13,75,1184,10
2020,83,Dillon Stoner,Oklahoma St.,Y,Big 12,FBS,Sr.,WR,11,42,573,4
2019,173,Dillon Stoner,Oklahoma St.,Y,Big 12,FBS,Jr.,WR,13,52,599,5
2018,163,Dillon Stoner,Oklahoma St.,Y,Big 12,FBS,So.,WR,12,48,603,2
2017,170,Dillon Stoner,Oklahoma St.,Y,Big 12,FBS,Fr.,WR,12,44,576,6
2016,179,Dimetrios Mason,Missouri,Y,SEC,FBS,Fr.,WR,11,47,587,3
2014,48,Dimitri Stimphil,Northern Colo.,N,Big Sky,FCS,Sr.,WR,11,60,870,7
2013,31,Dimitri Stimphil,Northern Colo.,N,Big Sky,FCS,Jr.,WR,11,63,1002,6
2018,91,Diontae Johnson,Toledo,N,MAC,FBS,Jr.,WR,13,49,761,8
2017,8,Diontae Johnson,Toledo,N,MAC,FBS,So.,WR,14,74,1278,13
2013,55,Diontae Spencer,McNeese,N,Southland,FCS,Sr.,WR,13,50,835,9
2017,52,DJ Chark,LSU,Y,SEC,FBS,Sr.,WR,13,40,874,3
2018,45,DJ Montgomery,Austin Peay,N,OVC,FCS,Sr.,WR,11,42,797,10
2022,113,DJ Rias,Samford,N,SoCon,FCS,Jr.,WR,13,51,588,6
2020,100,DJ Stubbs,Liberty,N,FBS Independent,FBS,Sr.,WR,11,38,523,3
2020,56,DJ Turner,Pittsburgh,Y,ACC,FBS,Sr.,WR,11,44,634,3
2014,131,DJ Ward,SFA,N,Southland,FCS,Sr.,WR,13,44,566,3
2023,44,Dominic Kibby,Presbyterian,N,Pioneer,FCS,So.,WR,11,44,776,4
2022,41,Dominic Kibby,Presbyterian,N,Pioneer,FCS,Fr.,WR,11,41,796,7
2023,149,Dominic Lovett,Georgia,Y,SEC,FBS,Jr.,WR,14,54,613,4
2022,70,Dominic Lovett,Missouri,Y,SEC,FBS,So.,WR,12,56,846,3
2020,93,Dominic Lyles,Bucknell,N,Patriot,FCS,Jr.,WR,4,31,291,1
2019,141,Dominic Lyles,Bucknell,N,Patriot,FCS,So.,WR,10,36,579,2
2014,152,Dominic Rufran,Wyoming,N,Mountain West,FBS,Sr.,WR,12,45,596,0
2013,51,Dominic Rufran,Wyoming,N,Mountain West,FBS,Jr.,WR,12,75,960,8
2016,129,Dominique Leake,Grambling,N,SWAC,FCS,Sr.,WR,12,31,534,6
2015,34,Dominique Williams,Washington St.,Y,Pac-12,FBS,Sr.,WR,13,75,1040,11
2014,126,Dominique Williams,Washington St.,Y,Pac-12,FBS,Jr.,WR,12,43,656,9
2013,141,Dominique Williams,Washington St.,Y,Pac-12,FBS,So.,WR,13,40,647,7
2013,347,Dominque Sullivan,Southern Miss.,N,CUSA,FBS,Sr.,WR,12,23,350,3
2016,102,Domo Taylor,James Madison,N,CAA,FCS,Sr.,WR,15,36,594,3
2016,118,Donald Gray,Mississippi St.,Y,SEC,FBS,Jr.,WR,13,41,709,5
2018,6,Donald Parham,Stetson,N,Pioneer,FCS,Sr.,TE,9,85,1319,13
2017,42,Donald Parham,Stetson,N,Pioneer,FCS,Jr.,TE,10,58,817,1
2023,133,Donaven McCulley,Indiana,Y,Big Ten,FBS,Jr.,WR,12,48,644,6
2022,135,Donavon Greene,Wake Forest,Y,ACC,FBS,So.,WR,13,37,642,6
2020,78,Donavon Greene,Wake Forest,Y,ACC,FBS,Fr.,WR,8,29,582,2
2017,128,Doni Dowling,Virginia,Y,ACC,FBS,Sr.,WR,13,50,647,5
2016,159,Doni Dowling,Virginia,Y,ACC,FBS,Jr.,WR,12,50,626,4
2020,43,Donnell Williams,UT Martin,N,OVC,FCS,Sr.,WR,6,29,445,3
2019,21,Donnie Corley,Texas Southern,N,SWAC,FCS,Jr.,WR,11,72,1039,3
2017,121,Donny Navarro,Valparaiso,N,Pioneer,FCS,Fr.,WR,11,32,539,5
2015,105,Donovan Harden,Georgia St.,N,Sun Belt,FBS,Sr.,WR,10,39,725,5
2014,52,Donovan Harden,Georgia St.,N,Sun Belt,FBS,Jr.,WR,12,60,885,7
2018,159,Donovan Peoples-Jones,Michigan,Y,Big Ten,FBS,So.,WR,13,47,612,8
2021,36,Dontario Drummond,Ole Miss,Y,SEC,FBS,Sr.,WR,12,76,1028,8
2020,164,Dontario Drummond,Ole Miss,Y,SEC,FBS,Sr.,WR,10,25,417,7
2019,156,Dontay Demus,Maryland,Y,Big Ten,FBS,So.,WR,12,41,625,6
2021,17,Dontayvion Wicks,Virginia,Y,ACC,FBS,Jr.,WR,12,57,1203,9
2020,102,Dontaze Costly,Nicholls,N,Southland,FCS,Jr.,WR,7,13,280,6
2013,40,Donte Foster,Ohio,N,MAC,FBS,Sr.,WR,13,69,1018,7
2013,57,Donte Moncrief,Ole Miss,Y,SEC,FBS,Jr.,WR,13,59,938,6
2017,18,Dontez Byrd,Tennessee Tech,N,OVC,FCS,Sr.,WR,11,78,1003,6
2016,31,Dontez Byrd,Tennessee Tech,N,OVC,FCS,Jr.,WR,11,74,933,7
2013,70,Dorial Green-Beckham,Missouri,Y,SEC,FBS,So.,WR,14,59,883,12
2015,166,Dorian Baker,Kentucky,Y,SEC,FBS,So.,WR,12,55,608,3
2013,169,Dorian Buford,Missouri St.,N,MVFC,FCS,Sr.,WR,12,33,504,3
2022,14,Dorian Singer,Arizona,Y,Pac-12,FBS,So.,WR,12,66,1105,6
2014,125,Doug Burton,VMI,N,SoCon,FCS,Sr.,WR,12,38,581,4
2013,327,Doug Burton,VMI,N,Big South,FCS,Jr.,WR,12,25,322,1
2022,16,Drae McCray,Austin Peay,N,ASUN,FCS,So.,WR,11,76,1021,9
2021,27,Drae McCray,Austin Peay,N,OVC,FCS,Fr.,WR,11,53,867,8
2023,187,Drake Dabney,Baylor,Y,Big 12,FBS,Sr.,TE,12,33,552,5
2021,28,Drake London,Southern California,Y,Pac-12,FBS,Jr.,WR,8,88,1084,7
2020,115,Drake London,Southern California,Y,Pac-12,FBS,So.,WR,6,33,502,3
2019,193,Drake London,Southern California,Y,Pac-12,FBS,Fr.,WR,13,39,567,5
2023,39,Drake Stoops,Oklahoma,Y,Big 12,FBS,Sr.,WR,13,84,962,10
2018,125,Dredrick Snelson,UCF,N,AAC,FBS,Jr.,WR,12,43,688,5
2017,107,Dredrick Snelson,UCF,N,AAC,FBS,So.,WR,13,46,695,8
2013,43,Dres Anderson,Utah,Y,Pac-12,FBS,Jr.,WR,12,53,1002,7
2017,86,Drew Batchelor,Weber St.,N,Big Sky,FCS,Sr.,WR,13,51,628,9
2019,62,Drew Estrada,Dartmouth,N,Ivy League,FCS,Sr.,WR,10,51,827,8
2016,103,Drew Morgan,Arkansas,Y,SEC,FBS,Sr.,WR,13,65,739,3
2015,70,Drew Morgan,Arkansas,Y,SEC,FBS,Jr.,WR,13,63,843,10
2016,67,Drew Wolitarsky,Minnesota,Y,Big Ten,FBS,Sr.,WR,13,66,860,5
2013,372,Dri Archer,Kent St.,N,MAC,FBS,Sr.,WR,10,25,327,4
2014,142,Duane Mitchell,Robert Morris,N,NEC,FCS,Sr.,WR,11,54,544,4
2013,50,Duane Mitchell,Robert Morris,N,NEC,FCS,Jr.,WR,11,52,867,7
2022,127,Duece Watts,Tulane,N,AAC,FBS,Sr.,WR,14,33,657,8
2020,108,Duece Watts,Tulane,N,AAC,FBS,Jr.,WR,12,31,512,6
2013,169,Dustin Creel,Eastern Mich.,N,MAC,FBS,So.,WR,12,46,593,5
2022,28,Dwayne Menders,Duquesne,N,NEC,FCS,Sr.,WR,11,55,906,6
2021,134,Dwayne Menders,Marist,N,Pioneer,FCS,Jr.,WR,10,45,525,3
2014,131,Dwayne Stanford,Oregon,Y,Pac-12,FBS,So.,WR,14,43,639,6
2020,6,Dyami Brown,North Carolina,Y,ACC,FBS,Jr.,WR,11,55,1099,8
2019,35,Dyami Brown,North Carolina,Y,ACC,FBS,So.,WR,13,51,1034,12
2017,65,Dylan Cantrell,Texas Tech,Y,Big 12,FBS,Sr.,WR,13,71,816,7
2016,135,Dylan Cantrell,Texas Tech,Y,Big 12,FBS,Jr.,WR,10,58,675,8
2022,25,Dylan Classi,Princeton,N,Ivy League,FCS,Sr.,WR,10,61,915,4
2021,91,Dylan Classi,Princeton,N,Ivy League,FCS,Sr.,WR,10,35,621,3
2017,136,Dylan Collie,Hawaii,N,Mountain West,FBS,Jr.,WR,11,56,636,4
2013,366,Dylan Davis,UT Martin,N,OVC,FCS,Sr.,WR,12,25,299,2
2021,105,Dylan Drummond,Eastern Mich.,N,MAC,FBS,Jr.,WR,13,64,704,6
2023,58,Dylan Laube,New Hampshire,N,CAA,FCS,Sr.,RB,10,68,699,7
2016,104,Dylan Wadsworth,Lafayette,N,Patriot,FCS,Jr.,TE,11,42,591,2
2023,1,Dymere Miller,Monmouth,N,CAA,FCS,Sr.,WR,11,90,1293,9
2022,36,Dymere Miller,Monmouth,N,CAA,FCS,Jr.,WR,9,55,820,7
2013,239,E.J. Bibbs,Iowa St.,Y,Big 12,FBS,Jr.,TE,12,39,462,2
2022,101,E.J. Hicks,N.C. Central,N,MEAC,FCS,Sr.,WR,12,33,613,7
2013,161,Earl Lucas,Alabama St.,N,SWAC,FCS,Jr.,WR,12,52,517,3
2019,16,Earnest Edwards,Maine,N,CAA,FCS,Sr.,WR,11,49,1097,11
2018,37,Earnest Edwards,Maine,N,CAA,FCS,Jr.,WR,14,53,839,10
2019,44,Easop Winston Jr.,Washington St.,Y,Pac-12,FBS,Sr.,WR,13,85,970,11
2018,142,Easop Winston Jr.,Washington St.,Y,Pac-12,FBS,Jr.,WR,13,52,654,8
2013,256,Easton Pedersen,Southern Utah,N,Big Sky,FCS,Jr.,WR,13,35,385,2
2015,60,Ed Eagan,Northwestern St.,N,Southland,FCS,Sr.,WR,11,58,745,4
2014,37,Ed Eagan,Northwestern St.,N,Southland,FCS,Jr.,WR,12,73,908,6
2013,131,Ed Eagan,Northwestern St.,N,Southland,FCS,So.,WR,12,45,584,3
2022,27,Ed Lee,Rhode Island,N,CAA,FCS,Sr.,WR,11,56,908,5
2015,32,Ed'Marques Batties,Middle Tenn.,N,CUSA,FBS,Sr.,WR,13,82,1048,13
2022,162,Eddie Lewis,Memphis,N,AAC,FBS,Sr.,WR,13,41,603,7
2013,93,Eddie Poole,Bethune-Cookman,N,MEAC,FCS,Sr.,WR,13,39,682,3
2023,18,Efton Chism III,Eastern Wash.,N,Big Sky,FCS,Jr.,WR,11,84,932,8
2022,108,Efton Chism III,Eastern Wash.,N,Big Sky,FCS,Jr.,WR,10,62,607,6
2021,57,Efton Chism III,Eastern Wash.,N,Big Sky,FCS,So.,WR,13,57,735,9
2020,110,Efton Chism III,Eastern Wash.,N,Big Sky,FCS,Fr.,WR,7,23,273,1
2019,73,EJ Jenkins,Saint Francis (PA),N,NEC,FCS,So.,WR,12,39,779,13
2022,150,EJ Smoot,UT Martin,N,OVC,FCS,Jr.,WR,11,32,508,3
2023,23,Eli Green,North Dakota St.,N,MVFC,FCS,So.,WR,15,45,877,3
2023,48,Eli Mirza,Eastern Ill.,N,OVC,FCS,Jr.,WR,11,61,721,3
2014,200,Eli Rogers,Louisville,Y,ACC,FBS,Sr.,WR,13,45,525,3
2013,199,Eli Rogers,Louisville,N,AAC,FBS,Jr.,WR,13,44,536,4
2023,30,Elic Ayomanor,Stanford,Y,Pac-12,FBS,So.,WR,12,62,1013,6
2019,55,Elijah Bell,N.C. A&T,N,MEAC,FCS,Sr.,WR,12,55,855,8
2018,135,Elijah Bell,N.C. A&T,N,MEAC,FCS,Jr.,WR,11,48,541,6
2017,24,Elijah Bell,N.C. A&T,N,MEAC,FCS,So.,WR,12,64,953,11
2016,90,Elijah Bell,N.C. A&T,N,MEAC,FCS,Fr.,WR,12,35,631,8
2022,21,Elijah Cooks,San Jose St.,N,Mountain West,FBS,Sr.,WR,12,69,1076,10
2019,47,Elijah Cooks,Nevada,N,Mountain West,FBS,Jr.,WR,13,76,926,8
2019,95,Elijah Dotson,Sacramento St.,N,Big Sky,FCS,Jr.,RB,13,70,702,4
2022,111,Elijah Higgins,Stanford,Y,Pac-12,FBS,Sr.,WR,12,59,704,2
2017,85,Elijah King,Texas St.,N,Sun Belt,FBS,Sr.,WR,12,52,750,3
2017,9,Elijah Marks,Northern Ariz.,N,Big Sky,FCS,Sr.,WR,10,71,1170,6
2016,53,Elijah Marks,Northern Ariz.,N,Big Sky,FCS,Jr.,WR,10,43,770,7
2013,316,Elijah McGuire,Louisiana,N,Sun Belt,FBS,Fr.,RB,13,22,384,3
2023,137,Elijah Metcalf,Middle Tenn.,N,CUSA,FBS,So.,WR,12,54,634,5
2020,2,Elijah Moore,Ole Miss,Y,SEC,FBS,Jr.,WR,8,86,1193,8
2019,70,Elijah Moore,Ole Miss,Y,SEC,FBS,So.,WR,12,67,850,6
2022,66,Elijah Sarratt,Saint Francis (PA),N,NEC,FCS,Fr.,WR,12,42,699,13
2022,38,Elijah Spencer,Charlotte,N,CUSA,FBS,So.,WR,12,57,943,9
2023,47,Elijah Steward,Lafayette,N,Patriot,FCS,So.,WR,12,52,738,5
2023,101,Elijhah Badger,Arizona St.,Y,Pac-12,FBS,Jr.,WR,11,65,713,3
2022,63,Elijhah Badger,Arizona St.,Y,Pac-12,FBS,So.,WR,12,70,866,7
2015,46,Ellis Henderson,Montana,N,Big Sky,FCS,Sr.,WR,13,49,817,7
2013,28,Ellis Henderson,Montana,N,Big Sky,FCS,So.,WR,13,43,1008,14
2018,73,Emanuel Hall,Missouri,Y,SEC,FBS,Sr.,WR,9,37,828,6
2017,64,Emanuel Hall,Missouri,Y,SEC,FBS,Jr.,WR,12,33,817,8
2016,79,Emanuel Thompson,Troy,N,Sun Belt,FBS,Jr.,WR,13,80,820,6
2022,9,Emeka Egbuka,Ohio St.,Y,Big Ten,FBS,So.,WR,13,74,1151,10
2021,76,Emeka Emezie,NC State,Y,ACC,FBS,Sr.,WR,12,60,802,6
2020,33,Emeka Emezie,NC State,Y,ACC,FBS,Sr.,WR,12,47,738,5
2019,185,Emeka Emezie,NC State,Y,ACC,FBS,Jr.,WR,12,56,576,2
2018,157,Emeka Emezie,NC State,Y,ACC,FBS,So.,WR,13,53,616,5
2018,75,Emmanuel Butler,Northern Ariz.,N,Big Sky,FCS,Sr.,WR,9,35,676,7
2016,19,Emmanuel Butler,Northern Ariz.,N,Big Sky,FCS,Jr.,WR,11,69,1003,9
2015,6,Emmanuel Butler,Northern Ariz.,N,Big Sky,FCS,So.,WR,11,64,1208,15
2019,110,Emmanuel Daigbe,Portland St.,N,Big Sky,FCS,Jr.,WR,12,39,650,7
2016,84,Emmanuel Obajimi,Samford,N,SoCon,FCS,Sr.,WR,11,56,657,6
2015,48,Emmanuel Obajimi,Samford,N,SoCon,FCS,Jr.,WR,11,53,813,7
2016,45,Equanimeous St. Brown,Notre Dame,N,FBS Independent,FBS,So.,WR,12,58,961,9
2013,376,Eric Christophel,Missouri St.,N,MVFC,FCS,So.,WR,12,29,289,1
2013,48,Eric Ebron,North Carolina,Y,ACC,FBS,Jr.,TE,13,62,973,3
2022,101,Eric Johnson,Lehigh,N,Patriot,FCS,Jr.,WR,11,49,613,5
2018,195,Eric Kumah,Virginia Tech,Y,ACC,FBS,Jr.,WR,12,42,559,7
2023,52,Eric McAlister,Boise St.,N,Mountain West,FBS,So.,WR,9,47,873,5
2016,49,Eric Saubert,Drake,N,Pioneer,FCS,Sr.,TE,11,56,776,10
2015,103,Eric Saubert,Drake,N,Pioneer,FCS,Sr.,TE,11,55,580,7
2013,142,Eric Saubert,Drake,N,Pioneer,FCS,So.,TE,11,47,549,2
2014,79,Eric Shufford,South Dakota,N,MVFC,FCS,Jr.,WR,12,53,699,5
2023,99,Eric Singleton Jr.,Georgia Tech,Y,ACC,FBS,Fr.,WR,12,48,714,6
2013,399,Eric Sumlin,Monmouth,N,FCS Independent,FCS,Jr.,WR,12,17,265,1
2013,44,Eric Thomas,Troy,N,Sun Belt,FBS,Sr.,WR,12,66,993,12
2013,53,Eric Ward,Texas Tech,Y,Big 12,FBS,Sr.,WR,13,83,947,8
2023,88,Eric Weatherly,Bucknell,N,Patriot,FCS,So.,WR,11,42,603,7
2023,79,Erik Brooks,Fresno St.,N,Mountain West,FBS,Sr.,WR,13,60,788,5
2013,168,Erik Buchanan,Nicholls,N,Southland,FCS,Sr.,WR,9,21,507,5
2021,103,Erik Ezukanma,Texas Tech,Y,Big 12,FBS,Jr.,WR,11,48,705,4
2020,31,Erik Ezukanma,Texas Tech,Y,Big 12,FBS,So.,WR,10,46,748,6
2019,134,Erik Ezukanma,Texas Tech,Y,Big 12,FBS,Fr.,WR,12,42,664,4
2013,3,Erik Lora,Eastern Ill.,N,OVC,FCS,Sr.,WR,13,123,1544,19
2022,120,Erik Surratt,Central Conn. St.,N,NEC,FCS,So.,WR,11,44,561,4
2013,100,Erik Walker,Weber St.,N,Big Sky,FCS,Sr.,WR,12,62,658,3
2013,135,Ernest Celestie,McNeese,N,Southland,FCS,Sr.,WR,13,31,565,5
2017,44,Ervin Philips,Syracuse,Y,ACC,FBS,Sr.,WR,12,89,904,4
2016,75,Ervin Philips,Syracuse,Y,ACC,FBS,Jr.,WR,12,90,822,6
2021,136,Ethan Bolingbroke,Southern Utah,N,Big Sky,FCS,So.,WR,11,54,523,2
2020,52,Ethan Dirrim,Mercer,N,SoCon,FCS,Fr.,RB,11,22,417,4
2017,128,Ethan Fry,Houston Christian,N,Southland,FCS,Sr.,WR,11,40,527,2
2023,120,Ethan Loss,Butler,N,Pioneer,FCS,Fr.,WR,11,41,515,2
2014,87,Eugene Lewis,Penn St.,Y,Big Ten,FBS,So.,WR,13,55,751,2
2020,127,Eugene Minter,Austin Peay,N,OVC,FCS,Jr.,WR,9,21,252,4
2023,195,Eugene Wilson III,Florida,Y,SEC,FBS,Fr.,WR,10,61,538,6
2016,53,Evan Engram,Ole Miss,Y,SEC,FBS,Sr.,TE,11,65,926,8
2014,122,Evan Engram,Ole Miss,Y,SEC,FBS,So.,TE,13,38,662,2
2022,199,Evan Hull,Northwestern,Y,Big Ten,FBS,Jr.,RB,12,55,546,2
2022,133,Evan Stewart,Texas A&M,Y,SEC,FBS,Fr.,WR,10,53,649,2
2013,25,Ezell Ruffin,San Diego St.,N,Mountain West,FBS,Jr.,WR,13,68,1136,3
2023,134,Ezeriah Anderson,Campbell,N,CAA,FCS,Sr.,WR,11,36,495,4
2023,93,Fabian McCray,Jackson St.,N,SWAC,FCS,Sr.,WR,11,41,584,4
2013,371,Fabian Truss,Samford,N,SoCon,FCS,Sr.,RB,12,36,295,1
2013,102,Fatu Moala,Southern Utah,N,Big Sky,FCS,Sr.,WR,13,60,655,1
2013,327,Faysal Shafaat,Chattanooga,N,SoCon,FCS,Jr.,TE,12,35,322,6
2017,77,Felton Davis,Michigan St.,Y,Big Ten,FBS,Jr.,WR,13,55,776,9
2018,87,Flynn Nagel,Northwestern,Y,Big Ten,FBS,Sr.,WR,14,68,780,2
2022,1,Fotis Kokosioulis,Fordham,N,Patriot,FCS,Sr.,WR,12,103,1312,14
2021,40,Fotis Kokosioulis,Fordham,N,Patriot,FCS,Sr.,WR,11,57,783,13
2020,103,Fotis Kokosioulis,Fordham,N,Patriot,FCS,Jr.,WR,3,20,278,1
2019,123,Fotis Kokosioulis,Fordham,N,Patriot,FCS,So.,WR,12,49,621,7
2019,160,Frank Darby,Arizona St.,Y,Pac-12,FBS,Jr.,WR,13,31,616,8
2017,141,Frank Stephens,Northern Colo.,N,Big Sky,FCS,Sr.,WR,9,27,500,5
2013,289,Fransohn Bickley,Akron,N,MAC,FBS,Fr.,WR,12,39,407,2
2013,163,Fred Gladney,Valparaiso,N,Pioneer,FCS,Jr.,WR,6,32,515,5
2013,123,Fred Lee,Buffalo,N,MAC,FBS,Sr.,WR,13,58,692,5
2014,199,Fred Plummer,Texas Southern,N,SWAC,FCS,Jr.,WR,10,34,446,4
2016,54,Fred Ross,Mississippi St.,Y,SEC,FBS,Sr.,WR,13,72,917,12
